outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Female;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;90;Kitten;False;;white;black;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;;black;;domestic shorthair;
Died;Female;No;90;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;white;black;domestic longhair;
Transfer;Male;No;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;blue;;domestic mediumhair;
Died;Male;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;2190;Cat;False;tabby;brown;;domestic longhair;
Transfer;Female;No;7;Kitten;False;calico;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;730;Cat;False;tabby;blue ;black;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;2190;Cat;True;;blue;;russian blue;
Adoption;Female;Yes;120;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;730;Cat;False;;white;;angora;
Adoption;Female;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;240;Cat;False;;black;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;;black;white;domestic mediumhair;
Transfer;Female;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;tortie;Breed Specific;blue cream;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;3;Kitten;False;;blue cream;;domestic shorthair;
Transfer;Male;Yes;3285;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;3;Kitten;False;tabby;black;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;2190;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;2555;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;blue;;domestic shorthair;
Euthanasia;Female;No;240;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;3;Kitten;True;tortie;Breed Specific;;manx;
Transfer;Male;Yes;270;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;150;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;1460;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;4745;Cat;False;point;lynx;;himalayan;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic shorthair;
Died;Female;No;365;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;white;blue;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;tabby;black ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;point;seal;;siamese;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;cream;;domestic shorthair;
Return to Owner;Female;Yes;210;Cat;True;point;lynx;;siamese;
Transfer;Female;Yes;7;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Male;Yes;1825;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;120;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;white;black;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;30;Kitten;True;;blue;;russian blue;
Adoption;Male;Yes;60;Kitten;True;tabby;blue;;manx;
Transfer;Female;No;730;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;365;Cat;False;tabby;orange ;white;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;30;Kitten;True;point;flame;;siamese;
Transfer;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;2920;Cat;False;;blue;white;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Euthanasia;Male;Yes;1825;Cat;False;;blue;;domestic longhair;
Transfer;Male;Yes;1095;Cat;False;;white;;domestic shorthair;
Adoption;Female;Yes;2920;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic longhair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Male;No;1095;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;330;Cat;False;;white;;angora;
Euthanasia;Female;No;28;Kitten;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Female;No;120;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;Yes;2555;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;smoke;black;;domestic shorthair;
Transfer;Male;Yes;1460;Cat;False;tabby;orange;;domestic mediumhair;
Transfer;Female;Yes;365;Cat;True;point;flame;;siamese;
Adoption;Male;Yes;210;Cat;False;;black;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;point;seal;;snowshoe;
Transfer;Male;No;21;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;point;flame;;himalayan;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic longhair;
Adoption;Male;Yes;30;Kitten;False;;white;;domestic shorthair;
Euthanasia;Female;Yes;3650;Cat;False;;black;;domestic longhair;
Transfer;Female;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;2190;Cat;True;point;flame;;siamese;
Adoption;Male;Yes;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;150;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;white;brown;domestic mediumhair;
Euthanasia;Female;Yes;2920;Cat;True;point;lynx;;siamese;
Transfer;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;No;1095;Cat;False;tabby;brown;;domestic mediumhair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Euthanasia;Male;Yes;5110;Cat;False;;white;;domestic longhair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;white;brown;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;No;60;Kitten;True;;blue;;russian blue;
Transfer;Male;No;60;Kitten;False;;black;;domestic mediumhair;
Transfer;Female;No;21;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;smoke;black;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;2555;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;300;Cat;False;tabby;brown ;white;domestic longhair;
Transfer;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;1460;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;;black;;domestic longhair;
Transfer;Female;No;4;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;4;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;cream ;white;domestic shorthair;
Transfer;Male;Yes;90;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;blue;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;blue;white;domestic shorthair;
Return to Owner;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;Yes;1095;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Return to Owner;Male;Yes;3650;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;30;Kitten;True;point;seal;;siamese;
Transfer;Male;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;white;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;6;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;;black;;domestic longhair;
Adoption;Male;Yes;2555;Cat;False;;white;black;domestic longhair;
Adoption;Female;Yes;270;Cat;False;;white;;domestic shorthair;
Transfer;Female;No;6;Kitten;True;point;white;lynx;siamese;
Transfer;Female;No;30;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;730;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;Yes;210;Cat;True;point;flame;;siamese;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;No;4380;Cat;False;tortie;Breed Specific;;domestic longhair;
Adoption;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;4380;Cat;False;;black;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;4;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;white;orange;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;white;black;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;180;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;calico;Breed Specific;;domestic mediumhair;
Return to Owner;Female;Yes;1095;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;730;Cat;True;point;flame;;siamese;
Adoption;Female;Yes;2190;Cat;True;;blue cream;;domestic longhair;persian
Adoption;Male;Yes;120;Kitten;False;;white;black;domestic shorthair;
Return to Owner;Female;Yes;270;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;white;;domestic mediumhair;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Died;Male;No;30;Kitten;True;tabby;brown;;manx;
Transfer;Female;Yes;180;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Male;Yes;1460;Cat;False;;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Transfer;Male;Yes;180;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;3;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;1825;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;6;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;white;domestic shorthair;
Euthanasia;Female;Yes;180;Cat;False;tabby;orange ;white;domestic mediumhair;
Adoption;Female;Yes;120;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;730;Cat;True;point;silver lynx;;siamese;
Adoption;Female;Yes;60;Kitten;False;point;blue;;snowshoe;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;cream ;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;True;calico;Breed Specific;;siamese;
Return to Owner;Male;Yes;1460;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;silver;;domestic shorthair;
Transfer;Female;Yes;2920;Cat;False;tabby;orange;;domestic longhair;
Transfer;Male;No;30;Kitten;True;;blue;;japanese bobtail;
Euthanasia;Male;No;150;Kitten;False;;buff;;domestic mediumhair;
Transfer;Male;No;730;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;gray;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;300;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;smoke;black;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;white;domestic longhair;
Transfer;Male;No;240;Cat;False;;black;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;;black;;domestic mediumhair;
Euthanasia;Female;Yes;365;Cat;False;tabby;brown ;white;domestic longhair;
Transfer;Female;No;730;Cat;False;tabby;white;brown;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;smoke;black;;domestic shorthair;
Transfer;Female;No;150;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;1825;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Male;Yes;3285;Cat;False;tabby;orange;;domestic shorthair;
